Phe,12_31491,11_10326,11_20690,11_21220,11_20895,12_30396,11_20590,11_10551,12_10447,11_21250,11_11380,12_10181,11_20293,12_30102,11_20595,12_10571,12_30571,11_11086,11_10926,12_21376,12_30921,11_10208,12_30605,12_31536,12_30117,12_30988,11_20974,12_30006,12_30976,11_20206,11_21202,12_31094,11_10974,11_21426,11_11048,11_10688,11_20134,12_30067,11_10705,12_30929,12_30635,11_20646,11_20686,12_30494,12_30577,11_21052,11_10427,12_30361,11_10040,11_20714,11_20972,11_20355,11_10239,11_11243,11_21229,11_10078,11_10896,12_30826
,0,2H,2H,2H,2H,2H,2H,2H,2H,2H,2H,2H,2H,2H,3H,3H,3H,3H,3H,3H,3H,4H,4H,4H,4H,4H,4H,4H,5H,5H,5H,5H,5H,5H,5H,5H,5H,5H,5H,5H,5H,5H,5H,5H,5H,5H,6H,6H,6H,6H,6H,6H,6H,7H,7H,7H,7H,7H
,0,4.72,78.54,136.33,149.27,151.92,154.65,156.77,158.18,159.62,160.46,160.46,161.30,172.92,14.91,18.21,32.92,64.60,67.86,159.54,163.49,2.60,56.22,79.47,108.34,111.81,116.68,130.81,1.91,7.26,7.84,11.45,21.68,21.68,24.76,28.98,95.11,123.78,125.09,132.32,135.62,157.61,163.72,171.58,177.90,187.20,37.99,43.38,74.65,75.28,106.82,120.69,122.14,121.36,128.72,137.31,150.44,162.03
NA,H,A,A,A,H,A,A,A,A,A,A,A,A,A,H,B,H,H,H,B,B,A,A,B,H,H,A,A,H,H,A,H,A,A,A,A,H,H,H,H,H,H,A,A,H,H,A,H,H,H,H,A,A,H,H,H,H,H
NA,B,B,A,A,B,B,B,B,B,B,B,B,B,H,A,H,A,A,A,H,H,A,A,B,H,H,A,A,B,H,H,B,H,H,H,H,H,H,H,B,B,A,H,H,H,H,A,A,H,A,H,H,H,B,B,B,B,B
NA,H,H,A,A,H,H,H,H,A,A,A,A,A,A,H,H,H,H,H,H,H,B,H,B,B,B,B,B,H,B,H,H,B,B,B,B,B,B,B,H,H,H,H,H,H,H,B,B,H,A,B,H,H,H,H,H,H,H
NA,A,B,B,-,H,B,B,B,B,B,B,B,B,B,H,A,H,H,H,H,H,H,H,H,H,H,H,H,H,B,A,H,H,H,H,A,B,B,B,H,H,A,A,A,A,A,H,H,A,A,A,H,H,H,H,H,A,A
NA,A,H,A,D,B,H,H,H,H,H,H,A,H,A,H,H,H,H,H,B,B,A,H,H,H,A,A,A,H,B,A,H,H,H,H,H,B,B,B,H,H,H,A,A,A,A,H,H,A,H,A,A,A,A,A,A,A,A
NA,A,B,A,A,H,B,B,H,H,H,H,-,H,H,H,A,H,H,H,H,H,H,H,A,H,H,H,H,A,A,A,A,H,H,H,H,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,H,H,H,A,A
NA,B,B,A,-,A,B,H,H,H,H,H,A,H,H,H,A,H,H,H,A,A,B,H,H,H,H,B,B,B,B,H,B,H,H,H,H,H,H,H,B,B,H,H,H,H,H,H,H,A,H,A,A,A,H,H,B,B,B
NA,H,B,A,-,H,B,B,B,B,B,B,B,B,B,H,H,H,H,H,H,H,A,H,A,A,A,A,A,B,H,B,B,B,B,B,B,H,H,H,B,B,B,B,B,B,B,H,H,A,A,A,H,H,A,A,H,H,H
